iso2,BE,DK,FR,DE,IS,IE,NL,NO,PT,ES,SE,GB,AO,BJ,CM,CV,CD,GQ,GA,GM,GH,GN,GW,CI,LR,MR,MA,NA,NG,CG,ST,SN,SL,ZA,TG,AR,BR,CL,CO,GF,GY,SR,UY,VE,BS,BB,CU,DM,DO,HT,JM,KN,LC,TT,BZ,CA,CR,GT,HN,MX,NI,PA,US
BE,0.0,675.509593055,479.838395907,367.955361901,2065.43792109,922.72542465,167.395722963,1196.61730053,1515.41316286,1327.02341856,1420.62972957,504.329768179,7117.50601285,4468.66178799,5115.73737312,4703.35432198,6227.01598716,5486.24790762,5743.38773485,4519.71595499,4782.361322,4698.10993563,4633.60713045,4880.49104506,5071.01713831,3629.59719796,2171.6698855,8194.96005544,4580.49171641,5744.74386631,5618.26208386,4337.84316021,4924.18894102,9220.17233403,4669.75269689,11758.3534469,8813.2167458,10962.6976185,8819.3758117,7469.95937914,7770.78515571,7626.2412756,11029.4239489,8058.43343544,7424.05155193,7080.99852342,7680.04282077,7008.10061435,7372.29981,7471.08990042,7908.16557838,6950.25037786,7115.02358281,7429.17298561,8771.02898308,6453.69337703,9064.65522531,9061.79711159,8855.16163163,9106.62416694,8896.22821468,8987.09215675,7525.89984636
DK,675.509593055,0.0,1154.12584895,552.167589258,1784.60379601,1163.94773661,510.179264074,567.870210794,2161.00625323,1998.93286943,745.932209131,778.848049641,7648.10781817,5101.3081208,5675.25848927,5349.60387843,6689.99259069,6062.45588627,6310.30229681,5192.1806113,5432.72668514,5373.29686423,5307.58822012,5546.05210085,5744.25165865,4304.84696071,2846.84392986,8736.58791286,5173.33971494,6275.91510202,6222.52124977,5010.22412143,5599.51954411,9731.42104669,5309.46618446,12354.7086274,9383.27407713,11491.6733464,9182.87694482,7981.93450992,8237.94994114,8118.72025974,11650.8481135,8457.95630672,7602.61463324,7496.73921604,7886.3790213,7394.63151165,7656.02307379,7740.70470708,8141.77524681,7312.64813148,7514.84458792,7847.70413657,8912.38869792,6119.65594106,9297.42964323,9200.83857835,9028.90242079,9075.88665848,9099.91317472,9256.74641349,7414.34881353
FR,479.838395907,1154.12584895,0.0,735.656326972,2392.75118993,1061.55886237,647.117586028,1672.0952849,1102.97755525,864.958077508,1899.8706149,775.638053118,6721.47631508,4010.18066155,4706.29138748,4265.67763362,5881.06456257,5063.87072344,5326.66718337,4049.72787171,4312.42543954,4219.23440948,4160.8365497,4402.64792254,4591.19190516,3153.88167853,1696.90571714,7788.9184011,4149.23890266,5352.8938474,5176.54727979,3868.08604078,4445.59127794,8831.25727293,4206.41690014,11354.1623051,8436.82186802,10613.3146604,8606.12094543,7146.03814326,7481.99101198,7317.64081297,10605.9717568,7821.60383935,7358.70984048,6836.98008608,7592.24597779,6787.67697803,7228.78976401,7337.53856239,7798.46875548,6749.16325144,6883.4277357,7180.90915559,8723.02832912,6747.27910687,8947.81823449,9013.47609771,8783.02064745,9179.12175869,8801.89460703,8843.44084332,7665.65907015
DE,367.955361901,552.167589258,735.656326972,0.0,2226.67535726,1247.71756433,326.745041676,1119.95140122,1830.77830313,1598.18770727,1257.13149387,810.588520054,7097.64394362,4566.06418495,5123.10559638,5001.31105721,6151.34527591,5510.9740556,5758.27103341,4767.55474273,4910.14992654,4908.05452338,4873.26941625,5043.83585327,5263.89021001,3860.5183919,2411.51875178,8185.32693576,4624.3049377,5725.04887346,5675.31520782,4586.5199693,5136.10371882,9184.19671447,4778.36933385,12084.8256563,9154.39100112,11315.0063983,9186.80783685,7828.24754299,8135.38820136,7987.74728091,11341.0859425,8426.38215055,7767.90905427,7448.80206755,8029.40670853,7375.93384733,7733.01530293,7830.11117097,8262.30085074,7317.32378371,7482.97886868,7796.87996048,9108.31991147,6605.63261602,9419.45187575,9398.84893215,9199.3577999,9396.14995159,9246.09141806,9346.97104789,7783.89201873
IS,2065.43792109,1784.60379601,2392.75118993,2226.67535726,0.0,1415.32043598,1959.58695611,1422.4840188,2803.81488215,2893.50955977,1689.40675434,1619.39251871,9095.35371607,6251.31841258,7071.34375969,5545.70813391,8272.45946095,7406.36935907,7677.79773335,5716.85179973,6467.48359321,6075.83607428,5867.20990225,6440.86407045,6503.24193635,4990.79444997,3673.15299786,10146.8031468,6480.73801401,7733.76469901,7468.80562818,5545.03961644,6278.59463325,11207.8121973,6415.35907855,11863.6192606,8892.54269711,10738.2822052,8022.14859197,7314.90080219,7403.37433136,7374.7317941,11340.9010107,7414.94357535,6123.49449723,6539.92510792,6445.86613786,6361.72867516,6369.05637805,6421.96970615,6742.19645119,6220.61650424,6512.49500424,6882.82178377,7350.54798661,4389.61042308,7867.11491308,7630.98427225,7510.51096208,7341.29020053,7625.97730013,7893.72464355,5645.63201307
IE,922.72542465,1163.94773661,1061.55886237,1247.71756433,1415.32043598,0.0,921.716930633,1344.87388758,1432.47682303,1481.25231606,1693.40471453,438.332070112,7688.94849076,4840.52126714,5663.37099237,4454.50225735,6908.53583465,5992.73113906,6265.36233701,4468.16056701,5072.55151737,4764.13512024,4606.3386605,5075.49132781,5177.60522986,3669.07710357,2286.83519747,8734.15723077,5066.48583094,6333.54967059,6054.26501064,4289.39073544,4977.58975,9800.96925382,5009.73083745,11286.1172801,8293.7032151,10359.7805288,8022.68180653,6847.8069612,7083.20511229,6973.86479613,10629.550581,7294.06300413,6522.21350533,6333.27645816,6788.2000779,6231.07341,6517.54661898,6608.39945346,7028.01950617,6151.52916685,6350.89880355,6684.32671983,7860.61940437,5700.46043248,8185.62518125,8151.13704389,7953.57187411,8188.0466253,8004.94270502,8126.33161774,6628.74592012
NL,167.395722963,510.179264074,647.117586028,326.745041676,1959.58695611,921.716930633,0.0,1030.52513287,1664.68092437,1489.29236424,1254.19659208,484.023892805,7260.86725626,4631.3073909,5264.23960563,4854.67090817,6355.22369055,5638.37376479,5893.71785138,4682.56650472,4947.88755301,4864.62740571,4797.50962312,5047.72778499,5238.20521909,3794.76960727,2336.75312243,8341.01565102,4735.61120863,5887.56653888,5775.9767379,4500.63634525,5090.55670486,9360.34216163,4833.62939044,11894.6024374,8940.61496964,11078.9180643,8888.58662318,7579.59486726,7867.76605553,7730.33785646,11173.2972353,8136.81693129,7443.27405854,7163.06154248,7706.71843216,7082.03276138,7418.8904813,7514.05856803,7942.1654332,7017.52733887,7192.70987618,7512.29622869,8782.23327003,6348.79999621,9099.59641054,9072.71677083,8874.70096408,9075.35523657,8923.49089201,9031.56155752,7473.37651338
NO,1196.61730053,567.870210794,1672.0952849,1119.95140122,1422.4840188,1344.87388758,1030.52513287,0.0,2587.07898089,2478.03671502,358.743202403,1099.44613922,8213.12066204,5657.37926067,6243.04471426,5743.43628278,7242.23553006,6630.17954052,6878.16964852,5654.97517597,5978.33683076,5870.58705163,5778.29425692,6074.50573158,6253.52763812,4789.11892976,3335.5924123,9302.59987448,5739.64822607,6841.54217171,6787.42303558,5473.16321641,6094.47926702,10292.2013241,5862.10379466,12629.9537593,9635.43047306,11676.1744497,9199.46960958,8168.34405686,8370.82809114,8281.23425184,11972.1307841,8516.80709368,7464.54201458,7580.50310157,7769.34570009,7449.52689586,7609.93428056,7680.95762459,8046.16871591,7344.37841009,7582.0830813,7931.32138045,8731.89727814,5635.63424778,9191.14549261,9016.11141217,8874.21557364,8763.2004128,8970.01388582,9183.73650709,7057.52210848
PT,1515.41316286,2161.00625323,1102.97755525,1830.77830313,2803.81488215,1432.47682303,1664.68092437,2587.07898089,0.0,374.573202963,2878.69258487,1494.94955274,6424.63676486,3472.42440356,4412.8720916,3190.13271724,5790.39951531,4697.50775779,4978.46747987,3074.02051859,3664.8506007,3337.25739212,3203.37638254,3646.08998581,3746.73591656,2242.30223124,870.927132121,7428.66561537,3773.88635061,5110.74697196,4706.12351523,2892.82091416,3553.63841123,8519.44867301,3622.73145812,10254.0657656,7334.63336835,9517.5341377,7633.53926825,6068.49297907,6432.36458894,6251.29480032,9515.31009236,6825.45822406,6626.2266571,5838.72836085,6816.88124471,5819.52567141,6367.05425022,6490.13345065,6983.59390223,5807.54125808,5900.12711241,6175.3399136,8000.57011826,6842.21675709,8107.90834264,8286.36325499,8017.90235813,8680.9311803,7999.57670577,7963.87343407,7345.74210724
ES,1327.02341856,1998.93286943,864.958077508,1598.18770727,2893.50955977,1481.25231606,1489.29236424,2478.03671502,374.573202963,0.0,2738.50819568,1430.3344928,6243.13425573,3359.27788083,4219.65056393,3406.16023569,5546.06695245,4530.16850103,4806.7029738,3193.29077835,3600.14141454,3393.15887769,3309.28520004,3633.41799767,3782.01766738,2311.90477305,858.179134718,7271.54897862,3602.75925848,4905.98122758,4575.8318062,3011.35204297,3616.57605888,8350.08394889,3529.85476003,10510.5441087,7621.94069991,9820.59597566,7997.70278087,6395.94698444,6775.97404641,6586.33227943,9750.44992024,7185.6741103,6997.46283007,6199.43314814,7190.34238771,6185.8379399,6741.36718589,6864.64813766,7358.07171927,6177.29347522,6263.8107112,6533.9809777,8371.9615509,7060.69641488,8482.37655414,8658.15973381,8391.3568784,9030.06410494,8373.99226329,8337.2355827,7662.81656804
