year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	BE	DO	BE-DO	490	0.000709007988903	0.000778522749797	7372.29981	0	0	50.643,4.664	19.015,-70.729	0.897	0.702	10398049	9469601
1990	BE	FR	BE-FR	127976	4.61469642918e-05	7.8674227911e-06	479.838395907	1	1	50.643,4.664	46.565,2.55	0.897	0.893	10398049	60990544
1990	BE	DK	BE-DK	727	6.49650326763e-05	0.000124703055515	675.509593055	0	0	50.643,4.664	56.058,9.264	0.897	0.901	10398049	5416945
1990	BE	DE	BE-DE	21902	3.53869617176e-05	4.45184289758e-06	367.955361901	1	0	50.643,4.664	51.11,9.851	0.897	0.92	10398049	82652369
1990	BE	HN	BE-HN	19	0.000851617609383	0.0129573004117	8855.16163163	0	0	50.643,4.664	14.819,-86.863	0.897	0.632	10398049	683411
1990	BE	BR	BE-BR	1887	0.000847583690537	4.71721936633e-05	8813.2167458	0	0	50.643,4.664	-10.772,-53.089	0.897	0.73	10398049	186830759
1990	BE	GN	BE-GN	197	0.000451826100803	0.000521858208914	4698.10993563	0	1	50.643,4.664	10.439,-10.942	0.897	0.355	10398049	9002656
1990	BE	NI	BE-NI	40	0.000855567060194	0.00162858850338	8896.22821468	0	0	50.643,4.664	12.84,-85.034	0.897	0.599	10398049	5462539
1990	BE	NL	BE-NL	42060	1.60987626586e-05	0.000102522599929	167.395722963	1	1	50.643,4.664	52.077,5.389	0.897	0.921	10398049	1632769
1990	BE	PT	BE-PT	1464	0.000145740144412	0.000143938130019	1515.41316286	1	0	50.643,4.664	40.309,-8.058	0.897	0.816	10398049	10528226
1990	BE	NO	BE-NO	791	0.000115080944563	0.000257956371066	1196.61730053	0	0	50.643,4.664	61.152,8.74	0.897	0.955	10398049	4638836
1990	BE	BS	BE-BS	8	0.000713985051612	0.0229637066825	7424.05155193	0	0	50.643,4.664	24.628,-78.014	0.897	0.794	10398049	323295
