ISO2	M49	name	lat	lon	pop2005	currencyName	currencyNumeric	HDI	isIndependent	totalMig	inMig	outMig	languages
US	840	United States	39.622	-98.606	299846449	US Dollar	840	0.915818181818	Yes	26771583	24882946	1888637	en
MX	484	Mexico	23.951	-102.535	104266392	Mexican Peso	484	0.734181818182	Yes	14199328	1042962	13156366	es
GB	826	United Kingdom	53	-1.6	60244834	Pound Sterling	826	0.848636363636	Yes	5131347	2454119	2677228	en
FR	250	France	46.565	2.55	60990544	Euro	978	0.86	Yes	4466441	3280596	1185845	fr
ES	724	Spain	40.227	-3.649	43397491	Euro	978	0.847454545455	Yes	4425871	3442968	982903	es
CA	124	Canada	59.081	-109.433	32270507	Canadian Dollar	124	0.895090909091	Yes	3654187	2573692	1080495	en/fr
DE	276	Germany	51.11	9.851	82652369	Euro	978	0.882	Yes	3167252	1074017	2093235	de
PT	620	Portugal	40.309	-8.058	10528226	Euro	978	0.783181818182	Yes	2295015	646026	1648989	pt
CO	170	Colombia	3.9	-73.076	4494579	Colombian Peso	170	0.677	Yes	2263170	95793	2167377	es
MA	504	Morocco	32.706	-5.758	30494991	Moroccan Dirham	504	0.540090909091	Yes	2205391	4961	2200430	ar
NL	528	Netherlands	52.077	5.389	1632769	Euro	978	0.894272727273	Yes	1567184	836837	730347	nl
VE	862	Venezuela	7.125	-66.166	26725573	Bolivar	937	0.704727272727	Yes	1557160	1014998	542162	es
NG	566	Nigeria	9.594	8.105	141356083	Naira	566	0.4545	Yes	1514794	655458	859336	en
CU	192	Cuba	21.297	-77.781	11259905	Cuban Peso	192	0.740818181818	Yes	1418075	9605	1408470	es
DO	214	Dominican Republic	19.015	-70.729	9469601	Dominican Peso	214	0.659636363636	Yes	1398317	355335	1042982	es
BR	76	Brazil	-10.772	-53.089	186830759	Brazilian Real	986	0.683	Yes	1283472	337052	946420	pt
AR	32	Argentina	-35.377	-65.167	38747148	Argentine Peso	32	0.771545454545	Yes	1164133	487647	676486	es
ZA	710	South Africa	-30.558	23.121	47938663	Rand	710	0.612363636364	Yes	1159232	714692	444540	af/en
HT	332	Haiti	19.142	-72.278	9296291	US Dollar	840	0.425375	Yes	1149483	26891	1122592	fr
JM	388	Jamaica	18.151	-77.32	2682469	Jamaican Dollar	388	0.697545454545	Yes	1096450	28412	1068038	en
