year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	FR	DO	FR-DO	2524	0.000118523123257	0.000763367935355	7228.78976401	0	0	46.565,2.55	19.015,-70.729	0.86	0.659636363636	60990544	9469601
1990	FR	DE	FR-DE	89386	1.20618095646e-05	8.90060788181e-06	735.656326972	1	0	46.565,2.55	51.11,9.851	0.86	0.882	60990544	82652369
1990	FR	BR	FR-BR	8096	0.000138329998631	4.51575635253e-05	8436.82186802	0	0	46.565,2.55	-10.772,-53.089	0.86	0.683	60990544	186830759
1990	FR	NL	FR-NL	13168	1.06101297609e-05	0.00039633137696	647.117586028	1	0	46.565,2.55	52.077,5.389	0.86	0.894272727273	60990544	1632769
1990	FR	PT	FR-PT	58432	1.80844026453e-05	0.000104763856252	1102.97755525	1	0	46.565,2.55	40.309,-8.058	0.86	0.783181818182	60990544	10528226
1990	FR	CU	FR-CU	328	0.00012448234562	0.000674272649529	7592.24597779	0	0	46.565,2.55	21.297,-77.781	0.86	0.740818181818	60990544	11259905
1990	FR	CO	FR-CO	1905	0.000141105823641	0.00191477799043	8606.12094543	0	0	46.565,2.55	3.9,-73.076	0.86	0.677	60990544	4494579
1990	FR	VE	FR-VE	4664	0.000128242893511	0.000292663653623	7821.60383935	0	0	46.565,2.55	7.125,-66.166	0.86	0.704727272727	60990544	26725573
1990	FR	CA	FR-CA	55003	0.000110628282097	0.000209085004672	6747.27910687	0	1	46.565,2.55	59.081,-109.433	0.86	0.895090909091	60990544	32270507
1990	FR	ZA	FR-ZA	2364	0.000144797155325	0.000184219932728	8831.25727293	0	0	46.565,2.55	-30.558,23.121	0.86	0.612363636364	60990544	47938663
1990	FR	HT	FR-HT	445	0.000120306166844	0.00078929742651	7337.53856239	0	1	46.565,2.55	19.142,-72.278	0.86	0.425375	60990544	9296291
1990	FR	AR	FR-AR	6463	0.000186162666545	0.000293032207302	11354.1623051	0	0	46.565,2.55	-35.377,-65.167	0.86	0.771545454545	60990544	38747148
1990	FR	GB	FR-GB	53814	1.27173493176e-05	1.28747645502e-05	775.638053118	0	0	46.565,2.55	53,-1.6	0.86	0.848636363636	60990544	60244834
1990	FR	ES	FR-ES	101098	1.41818390324e-05	1.99310618558e-05	864.958077508	1	0	46.565,2.55	40.227,-3.649	0.86	0.847454545455	60990544	43397491
1990	FR	MA	FR-MA	5628	2.78224394447e-05	5.56453916363e-05	1696.90571714	0	0	46.565,2.55	32.706,-5.758	0.86	0.540090909091	60990544	30494991
1990	FR	US	FR-US	137225	0.000125686025528	2.55652821493e-05	7665.65907015	0	0	46.565,2.55	39.622,-98.606	0.86	0.915818181818	60990544	299846449
1990	FR	MX	FR-MX	4897	0.000150500735961	8.80352871392e-05	9179.12175869	0	0	46.565,2.55	23.951,-102.535	0.86	0.734181818182	60990544	104266392
1990	DO	FR	DO-FR	454	0.000763367935355	0.000118523123257	7228.78976401	0	0	19.015,-70.729	46.565,2.55	0.659636363636	0.86	9469601	60990544
1990	DO	DE	DO-DE	1012	0.000816614691889	9.35607218098e-05	7733.01530293	0	0	19.015,-70.729	51.11,9.851	0.659636363636	0.882	9469601	82652369
1990	DO	HT	DO-HT	2406	1.72735787964e-05	1.75956087265e-05	163.573899044	0	0	19.015,-70.729	19.142,-72.278	0.659636363636	0.425375	9469601	9296291
1990	DO	BR	DO-BR	277	0.000405467592681	2.0551307192e-05	3839.61632112	0	0	19.015,-70.729	-10.772,-53.089	0.659636363636	0.683	9469601	186830759
1990	DO	NL	DO-NL	2422	0.000783442774548	0.00454374775691	7418.8904813	0	0	19.015,-70.729	52.077,5.389	0.659636363636	0.894272727273	9469601	1632769
1990	DO	PT	DO-PT	11	0.000672367742867	0.0006047604079	6367.05425022	0	0	19.015,-70.729	40.309,-8.058	0.659636363636	0.783181818182	9469601	10528226
1990	DO	ES	DO-ES	15310	0.000711895589465	0.000155340021521	6741.36718589	0	1	19.015,-70.729	40.227,-3.649	0.659636363636	0.847454545455	9469601	43397491
1990	DO	CO	DO-CO	361	0.000179716195215	0.000378642952303	1701.84066192	0	1	19.015,-70.729	3.9,-73.076	0.659636363636	0.677	9469601	4494579
1990	DO	VE	DO-VE	18280	0.000149181009161	5.28589090879e-05	1412.68463353	0	1	19.015,-70.729	7.125,-66.166	0.659636363636	0.704727272727	9469601	26725573
1990	DO	CA	DO-CA	2772	0.000573730268874	0.000168357960036	5432.99672786	0	0	19.015,-70.729	59.081,-109.433	0.659636363636	0.895090909091	9469601	32270507
1990	DO	AR	DO-AR	265	0.00064240473666	0.000157000369077	6083.31653668	0	1	19.015,-70.729	-35.377,-65.167	0.659636363636	0.771545454545	9469601	38747148
1990	DO	CU	DO-CU	267	8.23039926601e-05	6.92178105586e-05	779.385971198	0	1	19.015,-70.729	21.297,-77.781	0.659636363636	0.740818181818	9469601	11259905
1990	DO	US	DO-US	400348	0.000371754980813	1.17405803864e-05	3520.37133806	0	0	19.015,-70.729	39.622,-98.606	0.659636363636	0.915818181818	9469601	299846449
